INFO  2025-03-27T22:30:45.900 [] org.hibernate.validator.internal.util.Version                              :21   | HV000001: Hibernate Validator 8.0.1.Final
INFO  2025-03-27T22:30:47.714 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.OpenTimeRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
INFO  2025-03-27T22:30:47.716 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ReviewRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
INFO  2025-03-27T22:30:47.716 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ServiceRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
INFO  2025-03-27T22:30:47.718 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ShopRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
INFO  2025-03-27T22:30:47.722 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.UserRepository; If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository
INFO  2025-03-27T22:30:47.723 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :211  | Finished Spring Data repository scanning in 26 ms. Found 0 Reactive Elasticsearch repository interfaces.
INFO  2025-03-27T22:30:47.755 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :295  | Multiple Spring Data modules found, entering strict repository configuration mode
INFO  2025-03-27T22:30:47.756 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :143  | Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
INFO  2025-03-27T22:30:47.771 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ShopSearchRepository; If you want this repository to be a MongoDB repository, consider annotating your entities with one of these annotations: org.springframework.data.mongodb.core.mapping.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.mongodb.repository.MongoRepository
INFO  2025-03-27T22:30:47.805 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :211  | Finished Spring Data repository scanning in 48 ms. Found 11 MongoDB repository interfaces.
INFO  2025-03-27T22:30:47.827 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :295  | Multiple Spring Data modules found, entering strict repository configuration mode
INFO  2025-03-27T22:30:47.829 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :143  | Bootstrapping Spring Data Redis repositories in DEFAULT mode.
INFO  2025-03-27T22:30:47.852 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ADSSubscriptionRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
INFO  2025-03-27T22:30:47.852 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.AdvertisementRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
INFO  2025-03-27T22:30:47.854 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.CategoryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
INFO  2025-03-27T22:30:47.854 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.CommentRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
INFO  2025-03-27T22:30:47.855 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.FavoriteRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
INFO  2025-03-27T22:30:47.855 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.HistoryPaymentRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
INFO  2025-03-27T22:30:47.856 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.OpenTimeRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
INFO  2025-03-27T22:30:47.857 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ReviewRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
INFO  2025-03-27T22:30:47.858 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ServiceRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
INFO  2025-03-27T22:30:47.859 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ShopRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
INFO  2025-03-27T22:30:47.861 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.ShopSearchRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
INFO  2025-03-27T22:30:47.861 [] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:320  | Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.ducbao.service_be.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
INFO  2025-03-27T22:30:47.862 [] org.springframework.data.repository.config.RepositoryConfigurationDelegate :211  | Finished Spring Data repository scanning in 20 ms. Found 0 Redis repository interfaces.
INFO  2025-03-27T22:30:48.755 [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer               :111  | Tomcat initialized with port 8080 (http)
INFO  2025-03-27T22:30:48.874 [] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:296  | Root WebApplicationContext: initialization completed in 2784 ms
INFO  2025-03-27T22:30:48.986 [] org.redisson.Version                                                       :41   | Redisson 3.20.0
INFO  2025-03-27T22:30:49.340 [] org.redisson.connection.pool.MasterPubSubConnectionPool                    :162  | 1 connections initialized for localhost/127.0.0.1:6379
INFO  2025-03-27T22:30:49.395 [] org.redisson.connection.pool.MasterConnectionPool                          :162  | 24 connections initialized for localhost/127.0.0.1:6379
